Date,SalesAmount,Promotion,HolidayMonth
2020-01-01,12248,0,0
2020-02-01,11712,0,0
2020-03-01,11423,0,0
2020-04-01,14030,1,0
2020-05-01,9082,0,0
2020-06-01,10801,1,0
2020-07-01,9089,0,0
2020-08-01,9001,0,0
2020-09-01,9165,0,0
2020-10-01,13786,1,0
2020-11-01,11268,0,0
2020-12-01,16290,0,1
2021-01-01,12720,0,0
2021-02-01,11425,0,0
2021-03-01,10837,0,0
2021-04-01,10468,0,0
2021-05-01,11950,1,0
2021-06-01,9275,0,0
2021-07-01,8445,0,0
2021-08-01,8511,0,0
2021-09-01,10732,0,0
2021-10-01,10937,0,0
2021-11-01,12133,0,0
2021-12-01,16452,0,1
2022-01-01,16623,1,0
2022-02-01,13037,0,0
2022-03-01,11724,0,0
2022-04-01,11537,0,0
2022-05-01,10099,0,0
2022-06-01,9572,0,0
2022-07-01,9199,0,0
2022-08-01,10744,0,0
2022-09-01,10593,0,0
2022-10-01,11121,0,0
2022-11-01,13111,0,0
2022-12-01,17401,0,1
2023-01-01,13904,0,0
2023-02-01,12602,0,0
2023-03-01,12235,0,0
2023-04-01,12048,0,0
2023-05-01,14619,1,0
2023-06-01,10403,0,0
2023-07-01,10042,0,0
2023-08-01,10267,0,0
2023-09-01,10460,0,0
2023-10-01,11890,0,0
2023-11-01,13069,0,0
2023-12-01,19753,0,1
